mab_uid,mab_name,Protein_RefID,virus_id,virus_name,Family,Organism,Species,Epitope,pubmed_id,Target Protein,Target type,Target,Target name,Assay type,Assay,Quantitative measure,Unit,disease_id,disease_name
1_1-4G2-4-15,1-4G2-4-15,Cellosaurus: CVCL_J890,11060,DENV2,Flavivirus,Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (DENV-2),DENV,Envelope protein E,26265529,"Genome polyprotein, Envelope protein E",protein,UniProt: P12823 Dengue virus type 2 (strain Puerto Rico/PR159-S1/1969) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,ELISA,10,μg/ml,DOID:12205,DOID:12205
2_1A1D-2,1A1D-2,PDB: 2R69,11053,DENV1,Flavivirus,Dengue virus type 2 (strain 16681-PDK53) (DENV-2),DENV,"Envelope protein E, EDIII domain, This antibody neutralizes dengue virus serotypes 1, 2 and 3."," 18264114,  9657950","Genome polyprotein, Envelope protein E",Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",5.1,"ReciprocalendpointELISA titers, log10",DOID:12205,DOID:12205
3_1A1D-2,1A1D-2,PDB: 2R69,11060,DENV2,Flavivirus,Dengue virus type 2 (strain 16681-PDK53) (DENV-2),DENV,"Envelope protein E, EDIII domain, This antibody neutralizes dengue virus serotypes 1, 2 and 3."," 18264114,  9657950","Genome polyprotein, Envelope protein E",Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",5.3,"ReciprocalendpointELISAtiters, log10",DOID:12205,DOID:12205
4_1A1D-2,1A1D-2,PDB: 2R69,11069,DENV3,Flavivirus,Dengue virus type 2 (strain 16681-PDK53) (DENV-2),DENV,"Envelope protein E, EDIII domain, This antibody neutralizes dengue virus serotypes 1, 2 and 3."," 18264114,  9657950","Genome polyprotein, Envelope protein E",Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",5.4,"ReciprocalendpointELISAtiters, log10",DOID:12205,DOID:12205
5_1A1D-2,1A1D-2,PDB: 2R69,11070,DENV4,Flavivirus,Dengue virus type 2 (strain 16681-PDK53) (DENV-2),DENV,"Envelope protein E, EDIII domain, This antibody neutralizes dengue virus serotypes 1, 2 and 3."," 18264114,  9657950","Genome polyprotein, Envelope protein E",Protein,UniProt: P29991 Dengue virus type 2 (strain 16681-PDK53) (DENV-2),"Genome polyprotein, Envelope protein E",Binding,"ELISA, X-ray crystallography",3,"ReciprocalendpointELISAtiters, log10",DOID:12205,DOID:12205
6_2A10G6,2A10G6,PDB: 4L5F,11053,DENV1,Flavivirus,"dengue virus type 1, dengue virus type 2, Dengue virus type 3 (strain China/80-2/1980) (DENV-3), Yellow fever virus (strain 17D vaccine) (YFV), dengue virus type 4, West Nile virus (WNV), Zika virus (ZIKV)",DENV,,24743696,"Genome polyprotein, Envelope protein E",Protein,"UniProt: B6DXD2 dengue virus type 1, UniProt: Q9Q4T1 dengue virus type 2, UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (DENV-3), UniProt: P03314 Yellow fever virus (strain 17D vaccine) (YFV), UniProt: Q9E100 dengue virus type 4, UniProt: Q6RVA2 West Nile  virus (WNV),  UniProt: A0A0X9QZM7 Zika virus (ZIKV)","Envelope protein E, EDIII domain",Neutralization,PRNT50,2,μg/ml,DOID:12205,DOID:12205
7_2A10G6,2A10G6,PDB: 4L5F,11060,DENV2,Flavivirus,"dengue virus type 1, dengue virus type 2, Dengue virus type 3 (strain China/80-2/1980) (DENV-3), Yellow fever virus (strain 17D vaccine) (YFV), dengue virus type 4, West Nile virus (WNV), Zika virus (ZIKV)",DENV,," 24743696,  20369024","Genome polyprotein, Envelope protein E",Protein,"UniProt: B6DXD2 dengue virus type 1, UniProt: Q9Q4T1 dengue virus type 2, UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (DENV-3), UniProt: P03314 Yellow fever virus (strain 17D vaccine) (YFV), UniProt: Q9E100 dengue virus type 4, UniProt: Q6RVA2 West Nile  virus (WNV),  UniProt: A0A0X9QZM7 Zika virus (ZIKV)","Envelope protein E, EDIII domain",Neutralization,PRNT50,1.5,μg/ml,DOID:12205,DOID:12205
8_2A10G6,2A10G6,PDB: 5JHL,64320,ZIKV,Flavivirus,"dengue virus type 1, dengue virus type 2, Dengue virus type 3 (strain China/80-2/1980) (DENV-3), Yellow fever virus (strain 17D vaccine) (YFV), dengue virus type 4, West Nile virus (WNV), Zika virus (ZIKV)",ZIKV,"Envelope protein E, Fusion loop domain (98-DRXW-101)"," 27158114,  21264311","Genome polyprotein, Envelope protein E",Protein,UniProt: B6DXD2 dengue virus type 1,"Genome polyprotein, Envelope protein E",Neutralization,PRNT50,249,μg/ml,Z-TBD,Z-TBD
9_2A10G6,2A10G6,PDB: 5JHL,11069,DENV3,Flavivirus,"dengue virus type 1, dengue virus type 2, Dengue virus type 3 (strain China/80-2/1980) (DENV-3), Yellow fever virus (strain 17D vaccine) (YFV), dengue virus type 4, West Nile virus (WNV), Zika virus (ZIKV)",DENV,"Envelope protein E, Fusion loop domain (98-DRXW-101), This antibody has neutralization activity against dengue virus serotype 1-4 (DENV1-4), yellow fever virus (YFV), West Nile virus (WNV) and Zika virus (ZIKV)."," 27158114,  21264311","Genome polyprotein, Envelope protein E",Protein,"UniProt: B6DXD2 dengue virus type 1, UniProt: Q9Q4T1 dengue virus type 2, UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (DENV-3), UniProt: P03314 Yellow fever virus (strain 17D vaccine) (YFV), UniProt: Q9E100 dengue virus type 4, UniProt: Q, UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (DENV-3), UniProt: P03314 Yellow fever virus (strain 17D vaccine) (YFV), UniProt: Q9E100 dengue virus type 4, UniProt: Q6RVA2 West Nile virus (WNV), UniProt: A0A0X9QZM7 Zika virus (ZIKV)","Genome polyprotein, Envelope protein E",Neutralization,PRNT50,2.1,μg/ml,DOID:12205,DOID:12205
10_2A10G6,2A10G6,PDB: 5JHL,11070,DENV4,Flavivirus,"dengue virus type 1, dengue virus type 2, Dengue virus type 3 (strain China/80-2/1980) (DENV-3), Yellow fever virus (strain 17D vaccine) (YFV), dengue virus type 4, West Nile virus (WNV), Zika virus (ZIKV)",DENV,"Envelope protein E, Fusion loop domain (98-DRXW-101), This antibody has neutralization activity against dengue virus serotype 1-4 (DENV1-4), yellow fever virus (YFV), West Nile virus (WNV) and Zika virus (ZIKV).",21264311,"Genome polyprotein, Envelope protein E",Protein,"UniProt: B6DXD2 dengue virus type 1, UniProt: Q9Q4T1 dengue virus type 2, UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (DENV-3), UniProt: P03314 Yellow fever virus (strain 17D vaccine) (YFV), UniProt: Q9E100 dengue virus type 4, UniProt: Q, UniProt: Q99D35 Dengue virus type 3 (strain China/80-2/1980) (DENV-3), UniProt: P03314 Yellow fever virus (strain 17D vaccine) (YFV), UniProt: Q9E100 dengue virus type 4, UniProt: Q6RVA2 West Nile virus (WNV), UniProt: A0A0X9QZM7 Zika virus (ZIKV)","Genome polyprotein, Envelope protein E",Neutralization,PRNT50,1.8,μg/ml,DOID:12205,DOID:12205
